acquisition_rank,priority_bucket,bibkey,author_year,final_recommended_tier,JMP_component,where_pdf_is,zotero_files_path,blocks_extraction,blocks_first_batch,action,notes
11,3_gapcheck_addition_no_pdf_or_md,chantreuilInequalityDecompositionValues2013,Chantreuil & Trannoy 2013,T3,decomposition,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"decomposition-axioms background; T3 so extraction optional"
12,3_gapcheck_addition_no_pdf_or_md,tidotakengDecompositionsInequalityMeasures2023,Tido Takeng et al. 2023,T3,decomposition,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"Shapley-Owen grouped decomposition background"
13,3_gapcheck_addition_no_pdf_or_md,bosmansMeasurementInequalityOpportunity2021,Bosmans & Ozturk 2021,T3,normative-interpretation,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"normative IOp axioms background"
14,3_gapcheck_addition_no_pdf_or_md,fleurbaeyExAnteEx2013,Fleurbaey & Peragine 2013,T3,normative-interpretation,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"ex-ante vs ex-post EOp; relevant to ex-ante stance; verify DOI"
15,3_gapcheck_addition_no_pdf_or_md,checchiInequalityOpportunityItaly2010,Checchi & Peragine 2010,T3,decomposition,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"empirical IOp template; demoted to T3"
16,3_gapcheck_addition_no_pdf_or_md,brunoriUpwardDownwardBias2019,Brunori et al. 2019,T3,decomposition;identification,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"IOp measurement bias; verify DOI"
17,3_gapcheck_addition_no_pdf_or_md,palominoChannelsInequalityOpportunity2019,Palomino et al. 2019,T3,decomposition,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"education/occupation IOp channels; verify DOI"
18,3_gapcheck_addition_no_pdf_or_md,almasMeasuringUnfairInequality2011,Almas et al. 2011,T3,normative-interpretation,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"responsibility-sensitive measurement background"
19,3_gapcheck_addition_no_pdf_or_md,piacquadioFairnessJustificationUtilitarianism2017,Piacquadio 2017,T3,normative-interpretation,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"axiomatic fairness background"
20,3_gapcheck_addition_no_pdf_or_md,picchioWelfareEvaluation19862018,Picchio & Valletta 2018,T3,welfare,zotero_files,files/70,partial,no,copy PDF to Literature/ if/when extracted,"welfare-metric-menu comparator (US TRA86)"
21,3_gapcheck_addition_no_pdf_or_md,jaraPuttingMeasuresIndividual2017,Jara & Schokkaert 2017,T3,welfare;data-infrastructure,zotero_files,[verify in bib file= field],partial,no,copy PDF to Literature/ if/when extracted,"EUROMOD equivalent-income comparator (Sweden)"
22,3_gapcheck_addition_no_pdf_or_md,brunoriOpportunitySensitivePovertyMeasurement2013,Brunori et al. 2013b,DEFER,decomposition,zotero_files,[verify in bib file= field],no,no,acquire only if poverty angle activates,"DEFER: possible blind spot; poverty-measurement angle"
23,3_gapcheck_addition_no_pdf_or_md,Chapter34Welfare2002,[verify] Moffitt 2002 (Ch.34),T3,model,none,none,no,no,"source PDF externally if needed; add missing author (likely Moffitt) to bib",no PDF anywhere per inventory; handbook chapter; background only
24,4_deprioritized_reject_or_defer,rothShapleyValueEssays1988,Roth (ed.) 1988,DEFER,decomposition,none,none,no,no,acquire only if a Shapley-value-origin footnote is wanted,"DEFER: no PDF anywhere; deep background"
25,4_deprioritized_reject_or_defer,anandMeasuringWelfareLatent2011,Anand et al. 2011,REJECT,(none),zotero_files,[verify in bib file= field],no,no,do not acquire,"REJECT per bibtex audit sec.5; not aligned"
26,4_deprioritized_reject_or_defer,osbergIndexEconomicWell2002,Osberg & Sharpe 2002,REJECT,(none),zotero_files,[verify in bib file= field],no,no,do not acquire,"REJECT per bibtex audit sec.5; peripheral"
27,4_deprioritized_reject_or_defer,duroFactorDecompositionCrosscountry1998,Duro & Esteban 1998,REJECT,(none),zotero_files,[verify in bib file= field],no,no,do not acquire,"REJECT per bibtex audit sec.5; not aligned"
